Matt, Matthew, 馬太福音, 太
Mark, Mark, 馬可福音, 可
Luke, Luke, 路加福音, 路
John, John, 約翰福音, 約
Acts, Acts, 使徒行傳, 徒
Rom, Romans, 羅馬書, 羅
1_Cor, First_Corinthians, 哥林多前書, 林前
2_Cor, Second_Corinthians, 哥林多後書, 林後
Gal, Galatians, 加拉太書, 加
Eph, Ephesians, 以弗所書, 弗
Phil, Philippians, 腓立比書, 腓
Col, Colossians, 歌羅西書, 西
1_Thess, First_Thessalonians, 帖撒羅尼迦前書, 帖前
2_Thess, Second_Thessalonians, 帖撒羅尼迦後書, 帖後 
1_Tim, First_Timothy, 提摩太前書, 提前
2_Tim, Second_Timothy, 提摩太後書, 提後
Titus, Titus, 提多書, 多
Philem, Philemon, 腓利門書, 門
Heb, Hebrews, 希伯來書, 來
James, James, 雅各書, 雅
1_Pet, First_Peter, 彼得前書, 彼前
2_Pet, Second_Peter, 彼得後書, 彼後
1_John, First_John, 約翰一書, 約一
2_John, second_John, 約翰二書, 約二
3_John, Third_John, 約翰三書, 約三
Jude, Jude, 猶大書, 猶
Rev, Revelation, 啟示錄, 啟
