Gen, Genesis, 創世記, 創
Ex, Exodus, 出埃及記, 出
Lev, Leviticus, 利未記, 利 
Num, Numbers, 民數記, 民
Deut, Deuteronomy, 申命記, 申 
Josh, Joshua, 約書亞記, 書
Judg, Judges, 士師記, 士
Ruth, Ruth, 路得記, 得
1_Sam, First_Samuel, 撒母耳記上, 撒上
2_Sam, Second_Samuel, 撒母耳記下, 撒下
1_Kin, First_Kings, 列王紀上, 王上
2_Kin, Second_Kings, 列王紀下, 王下
1_Chr, First_Chronicles, 歷代志上, 代上 
2_Chr, Second_Chronicles, 歷代志下, 代下
Ezra, Ezra, 以斯拉記, 拉
Neh, Nehemiah, 尼西米記, 尼 
Esth, Esther, 以斯帖記, 斯
Job, Job, 約伯記, 伯
Ps, Psalms, 詩篇, 詩
Prov, Proverbs, 箴言, 箴 
Eccl, Ecclesiastes, 傳道書, 傳
Song, Song of Solomon, 雅歌, 歌 
Is, Isaiah, 以賽亞書, 賽
Jer, Jeremiah, 耶利米書, 耶 
Lam, Lamentations, 耶利米哀歌, 哀
Ezek, Ezekiel, 以西結書, 結
Dan, Daniel, 但以理書, 但
Hos, Hosea, 何西阿書, 何
Joel, Joel, 約珥書, 珥
Zeph, Zephaniah, 阿摩司書, 摩
Mal, Malachi, 俄巴底亞書, 俄
Amos, Amos, 約拿書, 拿
Obad, Obadiah, 彌迦書, 彌 
Jon, Jonah, 那鴻書, 鴻
Mic, Micah, 哈巴谷書, 哈 
Nah, Nahum, 西番雅書, 番
Hab, Habakkuk, 哈該書, 該 
Hag, Haggai, 撒迦利亞書, 亞
Zech, Zechariah, 瑪拉基書, 瑪
